model,params,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,top_5pct,666,0.05,0.5294776026330696,26719.534534534534,9350.0,464820,0.23873873873873874,0.15465465465465467,0.04804804804804805,0.15465465465465467
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,top_10pct,1332,0.1,0.4504812553903868,25212.16966966967,8010.0,1240140,0.19294294294294295,0.12387387387387387,0.0472972972972973,0.12387387387387387
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,score>=0.35,1123,0.08430930930930931,0.4711980384275399,26157.3285841496,8540.0,1240140,0.20569902048085487,0.13357079252003562,0.04719501335707925,0.13357079252003562
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,score>=0.40,811,0.060885885885885886,0.5091294683176273,27107.768187422935,9360.0,778840,0.22441430332922319,0.1467324290998767,0.05055487053020962,0.1467324290998767
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,score>=0.45,580,0.04354354354354354,0.5428895459819657,27451.724137931036,9695.0,464820,0.2482758620689655,0.15517241379310345,0.05,0.15517241379310345
rf_4,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': None}",0.6189593878819047,score>=0.50,394,0.02957957957957958,0.5760142927520286,27974.593908629442,10425.0,464820,0.26903553299492383,0.16243654822335024,0.048223350253807105,0.16243654822335024
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,ALL,13320,1.0,0.29418080067327623,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,top_1pct,133,0.009984984984984985,0.7137375292811452,25044.962406015038,10540.0,276510,0.24812030075187969,0.11278195488721804,0.05263157894736842,0.11278195488721804
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,top_3pct,399,0.029954954954954954,0.6658605569328934,29458.571428571428,11700.0,464820,0.2781954887218045,0.16791979949874686,0.05012531328320802,0.16791979949874686
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,top_5pct,666,0.05,0.6249770419461573,26895.075075075074,10050.0,464820,0.24324324324324326,0.15015015015015015,0.04804804804804805,0.15015015015015015
