rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_100_500_race>=0.5_score>=0.2_expected>=3000_top3_by_ticket_score,792,2374,2.9974747474747474,237400,253860,16460,1.069334456613311,0.9950716090985678,21,0.008845829823083403,0.026515151515151516,0.6058662939163024,0.5001748065414573,0.5183681146079478,0.2803061845439103,118.76221566975569,111.8,6127.614663287058,17630,0.06944772709367368,0.3508928571428571,1.006167459844482,6,2,True
odds_100_1000_race>=0.5_score>=0.2_expected>=3000_top3_by_ticket_score,792,2374,2.9974747474747474,237400,253860,16460,1.069334456613311,0.9950716090985678,21,0.008845829823083403,0.026515151515151516,0.6058662939163024,0.5001748065414573,0.5183681146079478,0.2803061845439103,118.76221566975569,111.8,6127.614663287058,17630,0.06944772709367368,0.3508928571428571,1.006167459844482,6,2,True
odds_100_500_race>=0.5_score>=0.4_expected>=5000_top3_by_ticket_score,773,2276,2.944372574385511,227600,243590,15990,1.0702548330404218,0.9927943760984183,20,0.008787346221441126,0.0258732212160414,0.6060139440466825,0.5001748065414573,0.5222574943868606,0.4002496807822298,120.4646309314587,113.9,6250.966846137288,17630,0.07237571328872286,0.3638888888888889,0.9841799969864257,6,2,True
odds_100_1000_race>=0.5_score>=0.4_expected>=5000_top3_by_ticket_score,773,2276,2.944372574385511,227600,243590,15990,1.0702548330404218,0.9927943760984183,20,0.008787346221441126,0.0258732212160414,0.6060139440466825,0.5001748065414573,0.5222574943868606,0.4002496807822298,120.4646309314587,113.9,6250.966846137288,17630,0.07237571328872286,0.3638888888888889,0.9841799969864257,6,2,True
odds_200_1000_race>=0.35_score>=0.2_expected>=3000_top3_by_ticket_score,2730,8157,2.987912087912088,815700,837070,21370,1.026198357239181,0.9919455682236116,39,0.004781169547627804,0.014285714285714285,0.4560013962776665,0.3500368422753134,0.35958627448647296,0.2004859125059346,232.9721098443055,218.7,8311.21191745143,27940,0.03337833156127922,0.4633333333333333,1.0407877684505806,6,3,True
odds_100_500_race>=0.45_score>=0.3_expected>=3000_top5_by_ticket_score,1043,5196,4.981783317353787,519600,531670,12070,1.0232294072363357,0.9872016936104696,44,0.008468052347959968,0.04218600191754554,0.5741022864236445,0.4500906629413549,0.5008929961774996,0.300679816638363,122.7352963818322,115.3,6099.437218712662,18720,0.035209810596798764,0.42525547445255474,0.9809591695408334,6,3,True
odds_100_1000_race>=0.45_score>=0.3_expected>=3000_top5_by_ticket_score,1043,5196,4.981783317353787,519600,531670,12070,1.0232294072363357,0.9872016936104696,44,0.008468052347959968,0.04218600191754554,0.5741022864236445,0.4500906629413549,0.5008929961774996,0.300679816638363,122.7352963818322,115.3,6099.437218712662,18720,0.035209810596798764,0.42525547445255474,0.9809591695408334,6,3,True
odds_100_500_race>=0.5_score>=0.4_expected>=3000_top5_by_ticket_score,783,3794,4.845466155810984,379400,391310,11910,1.0313916710595676,0.9849235635213495,33,0.008697944122298365,0.0421455938697318,0.6064123729078222,0.5001748065414573,0.5081146018540778,0.4002496807822298,121.80740643120717,115.0,6156.124267556102,17630,0.045053793667424805,0.21996268656716417,0.9532541893597047,6,2,True
odds_100_1000_race>=0.5_score>=0.4_expected>=3000_top5_by_ticket_score,783,3794,4.845466155810984,379400,391310,11910,1.0313916710595676,0.9849235635213495,33,0.008697944122298365,0.0421455938697318,0.6064123729078222,0.5001748065414573,0.5081146018540778,0.4002496807822298,121.80740643120717,115.0,6156.124267556102,17630,0.045053793667424805,0.21996268656716417,0.9532541893597047,6,2,True
odds_100_500_race>=0.45_score>=0.2_expected>=5000_top5_by_ticket_score,1043,5188,4.97411313518696,518800,536050,17250,1.0332498072474943,0.9825944487278334,41,0.007902852737085582,0.039309683604985615,0.5742502279203188,0.4500906629413549,0.4963849645499263,0.2024746902497025,128.96048573631458,118.85,6268.31865109502,26280,0.0490252774927712,0.42525547445255474,1.000771662580719,6,3,True
odds_100_1000_race>=0.45_score>=0.2_expected>=5000_top5_by_ticket_score,1043,5188,4.97411313518696,518800,536050,17250,1.0332498072474943,0.9825944487278334,41,0.007902852737085582,0.039309683604985615,0.5742502279203188,0.4500906629413549,0.4963881740770829,0.2024746902497025,129.11462991518889,118.85,6273.62212252217,26280,0.0490252774927712,0.42525547445255474,1.000771662580719,6,3,True
odds_100_500_race>=0.45_score>=0.2_expected>=3000_top5_by_ticket_score,1046,5226,4.996175908221797,522600,531670,9070,1.0173555300420971,0.9815346345197091,44,0.008419441255262151,0.04206500956022945,0.5736999627026783,0.4500906629413549,0.49947035516781985,0.2038425257376613,123.12433983926522,115.4,6091.456535754265,18720,0.035209810596798764,0.42525547445255474,0.9739322374300335,6,3,True
odds_100_1000_race>=0.45_score>=0.2_expected>=3000_top5_by_ticket_score,1046,5226,4.996175908221797,522600,531670,9070,1.0173555300420971,0.9815346345197091,44,0.008419441255262151,0.04206500956022945,0.5736999627026783,0.4500906629413549,0.49947035516781985,0.2038425257376613,123.12433983926522,115.4,6091.456535754265,18720,0.035209810596798764,0.42525547445255474,0.9739322374300335,6,3,True
odds_100_500_race>=0.5_score>=0.4_expected>=3000_top5_by_expected_return,783,3794,4.845466155810984,379400,391700,12300,1.0324196099103848,0.977358987875593,24,0.0063257775434897206,0.03065134099616858,0.6064123729078222,0.5001748065414573,0.4529742884938338,0.4000112752891799,166.82659462308908,165.9,7493.376395550308,20890,0.05333163135052336,0.29906716417910445,0.9804520759221553,6,3,True
odds_100_1000_race>=0.5_score>=0.4_expected>=3000_top5_by_expected_return,783,3794,4.845466155810984,379400,391700,12300,1.0324196099103848,0.977358987875593,24,0.0063257775434897206,0.03065134099616858,0.6064123729078222,0.5001748065414573,0.4529685907758103,0.4000112752891799,166.9255139694254,165.9,7497.237362541245,20890,0.05333163135052336,0.29906716417910445,0.9804520759221553,6,3,True
odds_100_500_race>=0.5_score>=0.4_expected>=5000_top5_by_ticket_score,773,3696,4.78137128072445,369600,378310,8710,1.0235660173160173,0.9758658008658009,31,0.008387445887445888,0.040103492884864166,0.6062052036409701,0.5001748065414573,0.5085877247011568,0.4000112752891799,124.36585497835496,117.5,6273.984331569407,17630,0.04660199307446274,0.22673076923076924,0.9567128244280418,6,3,True
