rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_direct_expected_return,avg_hit_payout,max_hit_payout,max_hit_share
odds_10plus_score>=0.6_top2,13084,25472,1.9468052583307858,2547200,10867810,8320610,4.266571136934673,4.253639290201005,4283,0.16814541457286433,0.3273463772546622,0.8410279086880916,0.6002516726131829,33.75935537060302,31.7,2692.5810851784245,2537.429371935559,32940,0.0030309694409453238
odds_10plus_score>=0.5_top2,13207,26100,1.9762247293102142,2610000,11075910,8465910,4.24364367816092,4.231022988505747,4310,0.16513409961685824,0.32634209131521164,0.8342001297685059,0.5003894371929033,34.97967816091954,32.1,2740.6379808233623,2569.816705336427,32940,0.002974021999095334
odds_10plus_score>=0.8_top5,10148,18695,1.842234923137564,1869500,7914320,6044820,4.233388606579299,4.230221984487831,3789,0.20267451190157795,0.3733740638549468,0.8970438428860349,0.8000017257731068,25.14654720513506,25.0,2208.8070854856433,2088.7622063869094,5920,0.0007480111999514803
odds_10plus_score>=0.8,10148,18752,1.8478517934568388,1875200,7916960,6041760,4.221928327645051,4.21877133105802,3790,0.2021117747440273,0.37347260543949545,0.8968090226055865,0.8000017257731068,25.181100682593858,25.0,2211.160258447278,2088.9076517150397,5920,0.0007477617671429438
odds_10plus_score>=0.8_top10,10148,18752,1.8478517934568388,1875200,7916960,6041760,4.221928327645051,4.21877133105802,3790,0.2021117747440273,0.37347260543949545,0.8968090226055865,0.8000017257731068,25.181100682593858,25.0,2211.160258447278,2088.9076517150397,5920,0.0007477617671429438
odds_10plus_top2_by_direct_ticket_score,13326,26652,2.0,2665200,11260290,8595090,4.22493246285457,4.212573165240882,4327,0.16235179348641754,0.3247035869728351,0.824411512393227,0.0002498632652266,36.904299864925704,32.5,2774.356969328945,2602.3318696556507,32940,0.002925324303370517
odds_all_score>=0.8_top3,11435,21723,1.89969392216878,2172300,8988790,6816490,4.137913731989136,4.135188509874327,6205,0.28564194632417256,0.5426322693484915,0.9176052006605447,0.8000017257731068,20.753781706025872,20.5,1843.531154874525,1448.6365834004835,5920,0.0006585980982979912
odds_all_score>=0.5_top3,13294,39115,2.942304799157515,3911500,16141260,12229760,4.126616387575099,4.1181950658315225,7605,0.19442669052793046,0.5720625846246427,0.8301349869158938,0.5003894371929033,35.41502236993481,33.4,2706.7993036989765,2122.4536489151874,32940,0.002040732879589326
odds_all_top3_by_direct_ticket_score,13326,39978,3.0,3997800,16492770,12494970,4.125461503827105,4.117221972084646,7635,0.1909800390214618,0.5729401170643854,0.8201867293506487,0.0001296827014009,37.51191905548051,33.9,2748.4135862344683,2160.1532416502946,32940,0.0019972387900880203
odds_all_score>=0.6_top3,13264,37934,2.8599215922798553,3793400,15638010,11844610,4.12242579216534,4.113742289239205,7541,0.19879263984815732,0.5685313630880579,0.8386402408436043,0.6000272220969043,33.818155216955766,32.7,2641.296644946685,2073.731600583477,32940,0.0021064061220065723
