rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,race_score,month,day,expected_return
high_odds_v1_top2,1320260122010004,7-2-9,2026-01-22,116.9,11690,0,490.0,1.0,0.0,0.5478904670580959,6404.839559909141,27,421,0.4807413796952265,2026-01,2026-01-22,6404.839559909141
high_odds_v1_top2,1320260122010004,3-5-7,2026-01-22,111.2,11120,0,490.0,1.0,0.0,0.5364842510715304,5965.704871915418,28,441,0.4807413796952265,2026-01,2026-01-22,5965.704871915418
high_odds_v1_top2,1320260122010006,2-7-3,2026-01-22,110.2,11020,0,55940.0,163.0,0.0,0.486945622256865,5366.140757270653,26,363,0.5898651711931594,2026-01,2026-01-22,5366.140757270652
high_odds_v1_top2,1320260122010006,2-7-9,2026-01-22,181.6,18160,0,55940.0,163.0,0.0,0.4819574969362186,8752.34814436173,27,178,0.5898651711931594,2026-01,2026-01-22,8752.34814436173
high_odds_v1_top2,1320260122010008,7-9-1,2026-01-22,105.1,10510,0,10590.0,28.0,0.0,0.5528090203399273,5810.022803772636,24,243,0.5055699064162187,2026-01,2026-01-22,5810.022803772636
high_odds_v1_top2,1320260122010008,9-4-2,2026-01-22,128.5,12850,0,10590.0,28.0,0.0,0.5171174904741147,6644.959752592374,26,197,0.5055699064162187,2026-01,2026-01-22,6644.959752592374
high_odds_v1_top2,1320260122010009,2-9-5,2026-01-22,101.6,10160,0,6520.0,14.0,0.0,0.5690202340822669,5781.245578275832,30,414,0.4901747645262138,2026-01,2026-01-22,5781.245578275832
high_odds_v1_top2,1320260122010009,2-7-9,2026-01-22,102.3,10230,0,6520.0,14.0,0.0,0.5535497646414493,5662.814092282027,31,419,0.4901747645262138,2026-01,2026-01-22,5662.814092282027
high_odds_v1_top2,1320260122010011,1-2-4,2026-01-22,104.4,10440,0,3790.0,11.0,0.0,0.5670141992924804,5919.628240613496,23,313,0.5042314300856459,2026-01,2026-01-22,5919.628240613496
high_odds_v1_top2,1320260122010011,2-3-1,2026-01-22,105.5,10550,0,3790.0,11.0,0.0,0.5454567008842814,5754.568194329169,25,321,0.5042314300856459,2026-01,2026-01-22,5754.568194329169
