rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_100plus_race>=0.6_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200plus_race>=0.3_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200plus_race>=0.4_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200plus_race>=0.45_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200plus_race>=0.5_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200plus_race>=0.55_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200plus_race>=0.6_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_300_3000_race>=0.3_score>=0.2_expected>=10000_top10_by_direct_ticket_score,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.25690718141214985,0.2000400479025765,727.6275555555555,516.6,18062.91391818032,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.3_score>=0.2_expected>=10000_top10_by_direct_expected_return,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.24914187946994026,0.2000400479025765,813.790222222222,665.0,19611.085239531672,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
odds_300_3000_race>=0.4_score>=0.2_expected>=10000_top10_by_direct_ticket_score,157,675,4.2993630573248405,67500,465630,398130,6.8982222222222225,5.047259259259259,4,0.005925925925925926,0.025477707006369428,1.0,1.0,0.25690718141214985,0.2000400479025765,727.6275555555555,516.6,18062.91391818032,124940,0.26832463544015633,0.0,7.749774153413394,6,3,False
