model,target,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
lightgbm,is_over_50,0.6073557302897492,score>=0.60,717,0.05382882882882883,0.6851077735804406,27839.67921896792,10000.0,778840,0.22315202231520223,0.14086471408647142,0.05439330543933055,0.14086471408647142
xgboost,is_over_50,0.6183200211226042,ALL,13320,1.0,0.05651882663369179,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
xgboost,is_over_50,0.6183200211226042,top_1pct,133,0.009984984984984985,0.24931493401527405,27503.233082706767,14270.0,156800,0.3157894736842105,0.18045112781954886,0.05263157894736842,0.18045112781954886
xgboost,is_over_50,0.6183200211226042,top_3pct,399,0.029954954954954954,0.20191867649555206,27842.907268170427,10830.0,778840,0.24060150375939848,0.14035087719298245,0.045112781954887216,0.14035087719298245
xgboost,is_over_50,0.6183200211226042,top_5pct,666,0.05,0.17692220211029053,27348.1981981982,9545.0,778840,0.22372372372372373,0.14114114114114115,0.04804804804804805,0.14114114114114115
xgboost,is_over_50,0.6183200211226042,top_10pct,1332,0.1,0.14152811467647552,25460.563063063062,7890.0,1240140,0.18993993993993993,0.12387387387387387,0.0472972972972973,0.12387387387387387
xgboost,is_over_50,0.6183200211226042,top_20pct,2664,0.2,0.11091379821300507,20381.253753753754,6220.0,1240140,0.1569069069069069,0.09534534534534535,0.03528528528528529,0.09534534534534535
xgboost,is_over_50,0.6183200211226042,score>=0.30,11,0.0008258258258258258,0.33565467596054077,47000.90909090909,46480.0,115420,0.7272727272727273,0.45454545454545453,0.09090909090909091,0.45454545454545453
xgboost,is_over_50,0.6183200211226042,score>=0.40,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
xgboost,is_over_50,0.6183200211226042,score>=0.50,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
xgboost,is_over_50,0.6183200211226042,score>=0.60,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
catboost,is_over_50,0.6116222061155239,ALL,13320,1.0,0.41639443050389374,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
catboost,is_over_50,0.6116222061155239,top_1pct,133,0.009984984984984985,0.7778136621151139,31230.751879699248,11710.0,276510,0.3082706766917293,0.16541353383458646,0.08270676691729323,0.16541353383458646
catboost,is_over_50,0.6116222061155239,top_3pct,399,0.029954954954954954,0.7451536261227831,29703.38345864662,11020.0,778840,0.2506265664160401,0.14786967418546365,0.05263157894736842,0.14786967418546365
catboost,is_over_50,0.6116222061155239,top_5pct,666,0.05,0.7205987104472917,29070.06006006006,9670.0,778840,0.22672672672672672,0.13963963963963963,0.052552552552552555,0.13963963963963963
catboost,is_over_50,0.6116222061155239,top_10pct,1332,0.1,0.6655313897173145,26684.75975975976,7975.0,1240140,0.1996996996996997,0.12462462462462462,0.0518018018018018,0.12462462462462462
catboost,is_over_50,0.6116222061155239,top_20pct,2664,0.2,0.6016390510155476,20465.221471471472,6540.0,1240140,0.1554054054054054,0.09421921921921922,0.036036036036036036,0.09421921921921922
catboost,is_over_50,0.6116222061155239,score>=0.30,10862,0.8154654654654655,0.46498529401685196,14705.90314859142,4455.0,1240140,0.10817529000184128,0.06389246915853435,0.0235684036089118,0.06389246915853435
catboost,is_over_50,0.6116222061155239,score>=0.40,7900,0.5930930930930931,0.5059895031628883,15489.946835443037,4880.0,1240140,0.11658227848101266,0.06746835443037974,0.024430379746835443,0.06746835443037974
catboost,is_over_50,0.6116222061155239,score>=0.50,3269,0.24542042042042042,0.5841639297245967,19132.94891404099,6050.0,1240140,0.14683389415723463,0.08718262465585806,0.03242581829305598,0.08718262465585806
catboost,is_over_50,0.6116222061155239,score>=0.60,1046,0.07852852852852853,0.6881295108998219,28202.217973231356,8755.0,1240140,0.21032504780114722,0.13001912045889102,0.05353728489483748,0.13001912045889102
