rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_30_500_score>=0.5_expected>=0_top3_by_direct_expected_return,2333,6997,2.9991427346763824,699700,686610,-13090,0.9812919822781192,0.9576246962984136,69,0.009861369158210662,0.02957565366480926,0.5855711959007729,0.5000000026788737,101.49606974417607,97.1,5841.85386911748,16560,0.02411849521562459,2026-04
odds_30_500_score>=0.5_expected>=0_top3_by_direct_expected_return,2306,6916,2.9991326973113615,691600,570800,-120800,0.8253325621746674,0.803716020821284,58,0.00838635049161365,0.02515177797051171,0.586115343797709,0.5000183266391405,101.20644881434356,96.7,5833.06969921105,14950,0.026191310441485635,2026-05
odds_30_500_score>=0.5_expected>=0_top3_by_direct_expected_return,1977,5928,2.998482549317147,592800,443150,-149650,0.7475539811066126,0.7178137651821862,44,0.007422402159244264,0.02225594334850784,0.5838593218664015,0.5000971022694773,102.02339743589742,97.2,5855.94444754906,17630,0.03978336906239422,2026-06
odds_30_500_score>=0.5_expected>=0_top5_by_direct_expected_return,2305,11495,4.9869848156182215,1149500,1149140,-360,0.9996868203566768,0.9821226620269683,125,0.01087429317094389,0.05422993492407809,0.5945646913375172,0.5000002401310523,94.93608525445846,93.7,5542.5068738884265,20190,0.01756966078980803,2026-01
odds_30_500_score>=0.5_expected>=0_top5_by_direct_expected_return,2128,10621,4.991071428571429,1062100,1048070,-14030,0.9867903210620469,0.8830430279634686,109,0.010262687129272197,0.051221804511278196,0.5932668980235022,0.5000217591684042,96.26422182468694,94.6,5603.63204413768,110190,0.10513610732107588,2026-02
odds_30_500_score>=0.5_expected>=0_top5_by_direct_expected_return,2256,11254,4.988475177304965,1125400,1086800,-38600,0.9657010840590012,0.9506220010662876,120,0.010662875422072152,0.05319148936170213,0.5936555713737888,0.5000276962331788,95.836475919673,94.3,5579.198876815128,16970,0.015614648509385352,2026-03
odds_30_500_score>=0.5_expected>=0_top5_by_direct_expected_return,2333,11643,4.990570081440206,1164300,1030030,-134270,0.8846774886197716,0.8704543502533711,107,0.009190071287468866,0.04586369481354479,0.5946944393090882,0.5000000026788737,95.49241604397494,94.0,5568.85504600463,16560,0.016077201634903837,2026-04
odds_30_500_score>=0.5_expected>=0_top5_by_direct_expected_return,2306,11511,4.991760624457936,1151100,963170,-187930,0.8367387716097646,0.8237511945095995,107,0.009295456519850578,0.04640069384215091,0.5953243842077661,0.5000183266391405,95.24612110155505,93.8,5561.2032800641855,14950,0.015521662842488865,2026-05
odds_30_500_score>=0.5_expected>=0_top5_by_direct_expected_return,1977,9869,4.991906929691452,986900,753120,-233780,0.7631168304792786,0.745252811835039,82,0.008308845881041646,0.041476985331310064,0.5931999979638468,0.5000729414743942,95.92001215928666,94.2,5581.569444386941,17630,0.023409284045039305,2026-06
odds_30_500_score>=0.5_expected>=0_top10_by_direct_expected_return,2305,22544,9.780477223427331,2254400,1903070,-351330,0.8441580908445706,0.8352022711142655,232,0.01029098651525905,0.10065075921908893,0.6151161586499045,0.5000002401310523,85.1235539389638,85.3,5103.151071174995,20190,0.010609173598448823,2026-01
