race_id,entry_count,result_count,diff
2220230517020003,7,6,-1
2220230613020001,7,5,-2
2220230613020007,7,6,-1
2220230629010004,9,7,-2
2220230629020003,9,8,-1
2220230629020006,9,8,-1
2220230629020007,9,8,-1
2220230629020010,9,7,-2
2220230629030007,9,6,-3
2220230629040003,7,6,-1
2220230710010009,7,6,-1
2220230710030001,7,6,-1
2220230710030008,7,3,-4
2220230728010003,7,5,-2
2220230728010008,6,5,-1
2220230728010012,7,6,-1
2220230818010009,7,6,-1
2220230818020003,7,4,-3
2220230818030007,7,6,-1
2220230828010001,7,6,-1
2220230828010007,7,6,-1
2220230828020011,7,6,-1
2220230828030008,7,5,-2
