race_id,combination,payout,popularity,result_top3,top3_match
6120250909020009,3-5-4,26230,51,1-5-2,False
6120250909020010,4-5-2,15050,38,3-5-4,False
6120250909020011,2-7-5,5320,18,4-5-2,False
6120260316030008,1-3-4,4250,27,1-3-4-5,False
6220260208020001,6-5-2,28620,66,,False
6220260208020002,4-3-5,5240,16,,False
6220260208020003,4-7-1,1910,5,,False
6220260208020004,4-1-3,6870,22,6-5-2,False
6220260506010007,2-5-1,4850,29,2-5-1-4,False
6220260528020008,6-3-4,14380,95,6-3-4-5,False
6320250206010001,3-7-6,210,1,,False
6320250206010002,7-3-2,1140,4,,False
6320250206010003,3-1-7,340,1,,False
6320250206010004,4-7-5,1630,6,3-7-6,False
6320250206020003,5-2-3,170,1,,False
6320250206020004,2-5-7,7020,11,5-2-3,False
6320250206020005,7-4-6,360,1,2-5-7,False
6320250206020006,7-2-3,1880,6,7-4-6,False
6320250525020012,1-4-3,2920,23,1-4-3-5,False
6320250807030005,1-4-5,4930,24,1-4-5-7,False
6320260319020003,9-7-3,15150,103,9-7-3-6,False
7120230403020002,3-5-4,1450,4,,False
7120230403020003,6-4-3,66890,174,3-5-4,False
7120230403020004,3-6-5,2910,10,6-4-3,False
7120230403020005,2-4-5,13670,38,3-6-5,False
7120230403020006,5-7-4,3800,15,2-4-5,False
7120230610030012,2-3-5,2780,16,2-3-5-7,False
7120230619010009,3-7-5,940,5,3-7-5-6,False
7120240501010003,1-2-4,250,2,1-2-4-7,False
7120250107030004,2-4-1,1360,7,2-4-1-3,False
7120250301030003,2-1-3,1040,3,2-1-3-4,False
7120250317020001,2-4-3,3680,23,2-4-3-5,False
7120250410020007,1-4-3,3050,19,1-4-3-7,False
7120250505030008,4-7-3,2210,12,4-7-3-5,False
7120250521010008,2-3-1,19960,111,2-3-1-5,False
7320230213030007,5-1-2,1060,6,5-1-2-3,False
7320230531030004,1-6-5,8280,29,,False
7320230531030005,3-4-6,26530,74,1-6-5,False
7320230531030006,3-5-1,82860,131,3-4-6,False
7320230531030007,7-1-5,360,1,3-5-1,False
7320230531030008,7-6-1,16740,62,7-1-5,False
7320230531030009,2-5-4,2500,5,7-6-1,False
7320230531030010,7-5-4,12510,39,2-5-4,False
7320230531030011,2-7-4,13220,58,7-5-4,False
